nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Fundació Privada Asproseat Serveis d'Acolliment Residencials|Fundació|1334|1999/11/10|Carrer Dolors Aleu , 27-33|Hospitalet de Llobregat|08908|Barcelonès|Assistencial|Assistencial ; Tutelar discapacitats ; Discapacitats
Fundació Privada Asproseat Serveis d'Atenció Diürna|Fundació|2751|2012/12/10|Carrer Dolors Aleu , 27-33|Hospitalet de Llobregat|08908|Barcelonès|Assistencial i Docent|Docent ; Assistencial
Fundació Privada Astres|Fundació|1648|2002/05/03|Carrer Riu Cardener cantonada Riera Mus , 32|Girona|17003|Gironès|Assistencial|Assistencial ; Discapacitats
Fundació Privada Atendis|Fundació|2456|2008/06/10|Avinguda Can Roqueta , 1, E|Sabadell|08202|Vallès Occidental|Assistencial|Assistencial
Fundació Privada Ateneu Sant Roc|Fundació|2144|2005/12/15|Carrer Cáceres , 34|Badalona|08918|Barcelonès|Assistencial i Cultural|
Fundació Privada Atlas|Fundació|1051|1997/04/02|Carrer Lledó , 11, 2n|Barcelona|08002|Barcelonès|Assistencial|Assistencial ; Famílies ; Immigració
Fundació Privada Atlètic Terrassa Hockey Club|Fundació|1190|1998/06/30|Carretera de Castellar, Km. 20,300|Terrassa|08227|Vallès Occidental|Cultural|Esportives ; Cultural
Fundació Privada Atlètic-Barceloneta|Fundació|1956|2004/04/14|Plaça del Mar , s/n|Barcelona|08003|Barcelonès|Assistencial|Assistencial ; Esportives ; Discapacitats
Fundació Privada Atria|Fundació|2862|2014/09/26|Passeig Marítim , 287|Castelldefels|08860|Baix Llobregat|Assistencial i Cultural|
Fundació Privada Auditori Josep Carreras|Fundació|1875|2003/10/10|Plaça De l'Església , 26|Vila-seca|43480|Tarragonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Auditorium d'Assegurances|Fundació|1904|2003/11/20|Passeig de Sant Joan , 33, local 1|Barcelona|08010|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Audiències de la Comunicació i la Cultura (FUNDACC)|Fundació|2136|2005/11/15|Carrer Casp , 31, 2n 1A|Barcelona|08010|Barcelonès|Cultural|
Fundació Privada Aula|Fundació|74|1984/09/12|Avinguda Mare de Déu de Lorda , 34-36|Barcelona|08034|Barcelonès|Cultural i Docent|Altres activitats formatives ; Cultural ; Docent
Fundació Privada Aula d'Alts Estudis d'Electes|Fundació|1696|2002/10/01|Carrer València , 231, 6a|Barcelona|08007|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Auria|Fundació|662|1993/05/03|Avinguda Andorra , 28|Igualada|08700|Anoia|Assistencial|Assistencial ; Tutelar discapacitats ; Tutelar discapacitats psíquics
Fundació Privada Autisme Guru|Fundació|2901|2015/04/15|Avinguda Vall d'Or , 17-21|Valldoreix|08197|Vallès Occidental|Assistencial|Assistencial
Fundació Privada Ave Maria de Sitges|Fundació|348|1988/01/22|Avinguda Artur Carbonell , 11|Sitges|08870|Garraf|Assistencial|Tutelar discapacitats psíquics ; Discapacitats ; Assistencial
Fundació Privada Avismón-Catalunya|Fundació|2610|2010/03/10|Carrer Jocs Florals , 59, bxs.|Barcelona|08014|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada BCD per a la Promoció del Disseny Industrial|Fundació|260|1986/08/25|Plaça de les Glòries (Edifici Disseny Hub) , 37-38, 1r|Barcelona|08018|Barcelonès|Cultural|Docent ; Cultural ; Altres activitats formatives
Fundació Privada BCN Formació Professional|Fundació|2278|2007/01/09|Plaça d'Espanya , 5, 1r|Barcelona|08004|Barcelonès|Cultural|Cultural
Fundació Privada BHCF (Blanes Hoquei Club Fundació)|Fundació|1793|2003/04/03|Carrer Josep Tarradelles , 2|Blanes|17300|Selva|Cultural|Esportives ; Cultural
Fundació Privada Babel Punto de Encuentro|Fundació|1979|2004/05/19|Carrer Balmes , 217, 6è 2a|Barcelona|08006|Barcelonès|Assistencial i Cultural|Cultural ; Immigració ; Assistencial
Fundació Privada Badalona Contra el Càncer|Fundació|1694|2002/09/27|Carrer Germà Bernabé , 2|Badalona|08911|Barcelonès|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Privada Badalona Oberta|Fundació|2650|2010/12/01|Carrer Sant Rafael , 45|Badalona|08911|Barcelonès|Cultural|Cultural
Fundació Privada Banc Sabadell|Fundació|872|1995/03/03|Plaça de Sant Roc , 20, 1r|Sabadell|08201|Vallès Occidental|Cultural|Promoció ; Cultural
Fundació Privada Banc dels Aliments|Fundació|324|1987/10/06|Carrer Motors , 122|Barcelona|08040|Barcelonès|Assistencial|Assistencial ; Pobres i indigents
Fundació Privada Banc dels Aliments de les Comarques de Girona|Fundació|420|1989/03/15|Carrer Rutlla , 20|Girona|17002|Gironès|Assistencial|Pobres i indigents ; Assistencial
Fundació Privada Banc dels Aliments de les Comarques de Tarragona|Fundació|948|1996/02/20|Carrer Escultor Rocamora , 14-16, bxs.|Reus|43204|Baix Camp|Assistencial|Assistencial ; Pobres i indigents
Fundació Privada Barberà Solidària|Fundació|1750|2003/01/31|Carrer Nemesi Valls , 35|Barberà del Vallès|08210|Vallès Occidental|Assistencial|Cooperació al desenvolupament ; Assistencial
Fundació Privada Barcelona Cultura|Fundació|2064|2005/02/03|Carrer La Rambla  , 99|Barcelona|08002|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Barcelona Olímpica|Fundació|705|1993/07/13|Avinguda de l'Estadi (Museo Olímpic de l'Esport) , 60|Barcelona|08038|Barcelonès|Cultural|Esportives ; Cultural
Fundació Privada Barcelonesa d'Amics del País (Dominga Gubau i Joan Rosell i Pelfort i Xinxó)|Fundació|550|1991/07/30|Carrer Basea , 8, 1r 1a|Barcelona|08003|Barcelonès|Docent|Cultural ; Docent ; Promoció
Fundació Privada Barcino per a la Gent Gran|Fundació|2078|2005/03/09|Carrer Sant Antoni , 50|Terrassa|08221|Vallès Occidental|Assistencial|Assistencial ; 3a edat
Fundació Privada Bartolozzi|Fundació|1776|2003/03/14|Carrer Mas Margodi , s/n|Vespella de Gaià|43763|Tarragonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Baruch Spinoza|Fundació|905|1995/07/05|Avinguda Diagonal , 520, 6è 4a|Barcelona|08006|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Barça Veterans|Fundació|931|1995/10/13|Carrer Arístides Mallol , s/n|Barcelona|08028|Barcelonès|Assistencial i Cultural|Assistencial ; Esportives ; Cultural
Fundació Privada Base Cultural Activa|Fundació|2080|2005/03/09|Travessera de Gràcia , 43, 4t 1a|Barcelona|08021|Barcelonès|Cultural|Realització actes culturals ; Promoció ; Cultural
Fundació Privada Basquet-Horta|Fundació|722|1993/09/28|Carrer Padilla , 228, 5è 2a|Barcelona|08013|Barcelonès|Cultural|Cultural ; Esportives
Fundació Privada Bayt Al-Thaqafa|Fundació|1878|2003/10/17|Carrer Princesa , 14, 1r 2a|Barcelona|08003|Barcelonès|Assistencial i Cultural|Cultural ; Realització actes culturals ; Assistencial ; Immigració
Fundació Privada Beat Bonaventura Gran de Riudoms|Fundació|1927|2004/03/03|Carrer Beat Bonaventura Gran , 52|Riudoms|43330|Baix Camp|Cultural|Religioses ; Cultural
Fundació Privada Bellmàs 2007|Fundació|2312|2007/03/23|Carrer Vázquez Mella , 37|Cerdanyola del Vallès|08193|Vallès Occidental|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació Privada Benallar|Fundació|2183|2006/04/03|Carrer Sots-tinent Navarro , 18, bxs. 1r|Barcelona|08002|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada Benèfica Barnola-Vallribera Sant Josep|Fundació|1151|1998/03/05|Carrer Escola Industrial , 22|Sabadell|08201|Vallès Occidental|Assistencial|3a edat ; Infància i adolescència ; Assistencial ; Residències
Fundació Privada Benèfica Docent Joaquim Seró|Fundació|21|1982/03/05|Avinguda Paral·lel , 122, bis, àtic|Barcelona|08015|Barcelonès|Docent|Promoció ; Docent
Fundació Privada Bernat Calvó|Fundació|2708|2011/11/24|Carretera de Reus a Salou  , Km. 7|Reus|43205|Baix Camp|Cultural|Cultural
Fundació Privada Bernat el Ferrer|Fundació|1934|2004/03/03|Carrer Nostra Senyora de Lourdes , 34|Molins de Rei|08750|Baix Llobregat|Cultural i Docent|Docent ; Cultural ; Altres activitats formatives
Fundació Privada Bertran de Seva per a la Gestió de Serveis Sanitaris i Socials|Fundació|1949|2004/03/25|Avinguda Francesc Ribas , s/n|Granollers|08402|Vallès Oriental|Assistencial|Assistencial ; 3a edat
Fundació Privada Betània Patmos|Fundació|160|1985/05/02|Avinguda de la Mare de Déu de Lorda , 2-16|Barcelona|08034|Barcelonès|Assistencial i Docent|Docent ; Assistencial ; Gestió centres d'ensenyament
Fundació Privada Bisbe Tomàs de Lorenzana|Fundació|2060|2004/12/28|Carrer del Carme , 63|Girona|17004|Gironès|Assistencial|Discapacitats ; Immigració ; Pobres i indigents ; 3a edat ; Assistencial
Fundació Privada Bonanit|Fundació|2342|2007/07/16|Carrer Enric d'Ossó , 2, E, 4t 1a|Tarragona|43005|Tarragonès|Assistencial|Assistencial
Fundació Privada Boscana|Fundació|346|1988/01/15|Carrer Can Caralleu , 18|Barcelona|08017|Barcelonès|Assistencial|Tutelar discapacitats psíquics ; Assistencial ; Residències
Fundació Privada Bosch Aymerich|Fundació|1012|1996/09/02|Carrer Tuset , 20-24, 3r 1a|Barcelona|08006|Barcelonès|Cultural|Esportives ; Cultural ; Artístiques
Fundació Privada Bosch Potensà|Fundació|2745|2012/10/09|Passeig de Gràcia , 32, 1r|Barcelona|08007|Barcelonès|Cultural|
Fundació Privada Busquets de Sant Vicenç de Paül|Fundació|82|1984/09/13|Carrer Doctor Cabanes , 27|Terrassa|08221|Vallès Occidental|Assistencial|Infància i adolescència ; Cura infància ; Assistencial
Fundació Privada Buxaderas-Grau|Fundació|2461|2008/07/07|Carrer Major , 12|Tona|08551|Osona|Cultural|Cultural
Fundació Privada CATmón|Fundació|1870|2003/10/01|Carrer Carnisseries Velles , 7, 2n|Reus|43201|Baix Camp|Cultural|Realització actes culturals ; Cultural
Fundació Privada CEMCAT|Fundació|2955|2016/03/17|Passeig de la Vall d'Hebron , 119-129|Barcelona|08035|Barcelonès|Assistencial, Docent i Fins Científics|Docent ; Fins científics ; Assistencial
Fundació Privada CETUC|Fundació|1539|2001/05/03|Carrer Almogàvers , 68, 5è|Barcelona|08018|Barcelonès|Docent|Altres activitats formatives ; Docent
Fundació Privada CONFAVC, Estudis i Recursos Veïnals|Fundació|2404|2008/02/20|Carrer Doctor Aiguader , 18, bxs.|Barcelona|08003|Barcelonès|Cultural|Cultural
Fundació Privada CPB Dr. Fàbregas|Fundació|113|1984/11/23|Carrer Mare de Déu del Coll , 20|Barcelona|08023|Barcelonès|Cultural i Docent|Docent ; Famílies ; Cultural
Fundació Privada Cabanas|Fundació|2012|2004/07/27|Carrer Santiago Rusiñol , 60|Sant Cugat del Vallès|08172|Vallès Occidental|Cultural|Artístiques ; Cultural
Fundació Privada Cabanellas|Fundació|1094|1997/09/05|Carrer Sant Francesc (Parròquia Sta. Maria) , 25|Mataró|08301|Maresme|Assistencial|Assistencial ; Pobres i indigents
Fundació Privada Cal Ble|Fundació|1422|2000/06/23|Rambla Sant Isidre , 31-33|Igualada|08700|Anoia|Cultural|Promoció ; Cultural
Fundació Privada Calandra|Fundació|2713|2011/12/27|Carrer Sot dels Pradals , 9|Vic|08500|Osona|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada Campanar de Jujol|Fundació|2588|2009/07/23|Carrer l'Església , 25|Creixell|43838|Tarragonès|Cultural|Cultural
Fundació Privada Can Cerdà|Fundació|27|1984/03/29|Carrer Sant Camil , 4|Cerdanyola del Vallès|08290|Vallès Occidental|Cultural|Cultural ; Religioses
Fundació Privada Can Costa|Fundació|640|1992/11/23|Passeig de la Zona Franca , 111, 11 D|Barcelona|08038|Barcelonès|Cultural|Cultural ; Esportives
Fundació Privada Can Gelabert|Fundació|1917|2003/12/17|Carrer Pelai , 42, 4t 1a|Barcelona|08001|Barcelonès|Assistencial|Discapacitats ; Assistencial
Fundació Privada Can Manso|Fundació|1519|2001/03/19|Plaça Vella , 3|Centelles|08540|Osona|Cultural|Promoció ; Cultural
Fundació Privada Candi Granés Campasol|Fundació|3021|2017/05/26|Avinguda dels Països Catalans , 116|Banyoles|17820|Pla de l'Estany|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Canigó|Fundació|815|1994/07/22|Avinguda Vallvidrera , 22|Barcelona|08017|Barcelonès|Assistencial|Tutelar discapacitats ; Discapacitats ; Assistencial
Fundació Privada Cardener-Nou Horitzó per l'Educació Jesuïta|Fundació|2971|2016/06/20|Carrer Roger de Llúria , 13|Barcelona|08010|Barcelonès|Cultural|Cultural
Fundació Privada Carl Faust-Estació Internacional de Biologia Mediterrània|Fundació|204|1985/10/28|Passeig de Carles Faust , 9|Blanes|17300|Selva|Cultural|Cultural ; Mediambientals
Fundació Privada Carlos Méndez|Fundació|2014|2004/07/29|Carrer Lluís Sagnier , 16-18|Barcelona|08032|Barcelonès|Cultural|Cultural ; Artístiques ; Promoció
Fundació Privada Carme Serrallonga|Fundació|226|1986/01/24|Carrer Joan Miró , s/n|Esplugues de Llobregat|08950|Baix Llobregat|Cultural i Docent|Docent ; Cultural ; Gestió centres d'ensenyament
Fundació Privada Carme Vidal Xifré de Neuropsicopedagogia|Fundació|1735|2002/12/12|Carrer Santa Eugenia , 21, A, 5è 1a|Girona|17005|Gironès|Assistencial|Assistencial ; Discapacitats ; Atenció mèdica no hospitalària ; Altres activitats formatives ; Docent
Fundació Privada Carme-Enric|Fundació|936|1995/12/27|Carrer La Pau , 14|Figueres|17600|Alt Empordà|Fins Científics|Fins científics
Fundació Privada Carmel - Palautià|Fundació|1931|2004/03/03|Avinguda D'Estanislau Figueres , 31|Tarragona|43002|Tarragonès|Cultural i Docent|Cultural ; Altres activitats formatives ; Docent
Fundació Privada Casa Asil de Sant Andreu de Palomar|Fundació|8|1983/05/20|Carrer Agustí i Milà , 78|Barcelona|08030|Barcelonès|Assistencial|Residències ; Assistencial
Fundació Privada Casa Pairal|Fundació|337|1987/12/04|Carrer del Rosari , 29|Vilassar de Mar|08340|Maresme|Assistencial|3a edat ; Assistencial
Fundació Privada Casa Tarradellas|Fundació|2388|2007/12/19|Carretera de Puigcerdà , Km. 70|Gurb|08503|Osona|Cultural|Cultural
Fundació Privada Casa de Caritat - Residència Mare Janer|Fundació|60|1984/07/06|Carrer Major , 64|Cervera|25200|Segarra|Assistencial|Assistencial ; Residències
Fundació Privada Casa de Caritat de Vic|Fundació|230|1986/02/03|Avinguda Pius XII , 20|Vic|08500|Osona|Assistencial|Assistencial ; Infància i adolescència
Fundació Privada Casa de Família de Sant Josep Oriol|Fundació|404|1988/11/16|Carrer Bruc , 42, 3r A|Barcelona|08010|Barcelonès|Assistencial|Assistencial ; 3a edat
Fundació Privada Casa de Misericòrdia de Barcelona|Fundació|73|1984/08/09|Carrer Elisabets , 8-10, bxs., int.|Barcelona|08001|Barcelonès|Assistencial|Infància i adolescència ; Assistencial
Fundació Privada Casa del Tibet|Fundació|1652|2002/05/30|Carrer Rosselló , 181|Barcelona|08036|Barcelonès|Cultural|Cultural
Fundació Privada Casal Verge de Montserrat|Fundació|389|1988/08/08|Plaça Roc Garcia , s/n|Balsareny|08660|Bages|Assistencial|Residències ; Assistencial
Fundació Privada Casal d'Assistència Benèfica de Puig-reig - Residència de Vells|Fundació|132|1985/01/23|Carrer Llobregat , 75|Puig-reig|08692|Berguedà|Assistencial|Assistencial ; Residències
Fundació Privada Casal d'Europa del Berguedà|Fundació|1489|2000/12/28|Carrer Pla de l'Alemany|Berga|08600|Berguedà|Cultural|Cultural ; Promoció
Fundació Privada Casal de Calaf|Fundació|2749|2012/11/23|Carretera Llarga , 11|Calaf|08280|Anoia|Cultural|Cultural
Fundació Privada Casal de Curació|Fundació|295|1987/03/23|Carrer Maria Vidal , 44-50|Vilassar de Mar|08340|Maresme|Assistencial|Famílies ; Assistencial
Fundació Privada Casal del Perruquer|Fundació|813|1994/07/20|Carrer de la Força , 18|Girona|17004|Gironès|Cultural|Promoció ; Cultural
Fundació Privada Casal dels Avis d'Alforja|Fundació|1446|2000/10/03|Plaça De Dalt , 1|Alforja|43365|Baix Camp|Assistencial|Assistencial ; 3a edat
Fundació Privada Casal dels Avis d'Esplugues|Fundació|1780|2003/03/26|Avinguda Isidre Martí , 17-19|Esplugues de Llobregat|08950|Baix Llobregat|Assistencial|3a edat ; Assistencial
Fundació Privada Casanovas Sansà|Fundació|133|1985/01/24|Casa de la Vila|Sort|25560|Pallars Sobirà|Docent|Docent
Fundació Privada Casino l'Aliança del Poblenou|Fundació|2187|2006/04/10|Rambla Poblenou , 42|Barcelona|08005|Barcelonès|Cultural|Cultural
Fundació Privada Cassa|Fundació|2083|2005/03/29|Carrer de la Concepció , 20|Sabadell|08202|Vallès Occidental|Cultural i Fins Científics|Mediambientals ; Fins científics ; Cultural ; Realització actes culturals
Fundació Privada Cassà-Escoles Catòliques Marqués de la Cuadra|Fundació|1065|1997/03/27|Carrer de l'Església , 24|Arenys de Mar|08350|Maresme|Docent|Docent ; Gestió centres d'ensenyament
Fundació Privada Castell de Peralada|Fundació|918|1995/07/28|Carrer Biblioteca Convent Carme|Peralada|17491|Alt Empordà|Cultural|Cultural ; Promoció
Fundació Privada Castellet|Fundació|2578|2009/06/17|Avinguda Secretari Canal , 14, bxs.|Sant Vicenç de Castellet|08295|Bages|Assistencial|Assistencial
Fundació Privada Castells Culturals de Catalunya|Fundació|779|1994/05/06|Carrer Artesa de Segre|Artesa de Segre|25730|Noguera|Cultural|Cultural ; Realització actes culturals
Fundació Privada Catalana "Agència de Qualificació dels Professionals de l'Enginyeria"|Fundació|2798|2014/01/03|Carrer Els Vergós , 16|Barcelona|08017|Barcelonès|Cultural|Cultural
Fundació Privada Catalana Alejandre|Fundació|1041|1997/02/05|Rambla de Catalunya , 54, pral. 2a|Barcelona|08007|Barcelonès|Assistencial|Assistencial ; Atenció mèdica no hospitalària
Fundació Privada Catalana Aram|Fundació|2360|2007/10/17|Avinguda de les Corts Catalanes , 5-7, 1r|Sant Cugat del Vallès|08173|Vallès Occidental|Cultural|Cultural
Fundació Privada Catalana Atrium Artis|Fundació|2423|2008/03/25|Carrer Sèquia , 11, 4t|Girona|17001|Gironès|Cultural|Cultural
Fundació Privada Catalana Benèfic-Social Raval Solidari|Fundació|1219|1998/10/06|Carrer Guifré , 4, ent. 3a|Barcelona|08001|Barcelonès|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Privada Catalana Cet10|Fundació|2754|2013/01/21|Rambla Guipúscoa , 23-25, bxs. 3a|Barcelona|08018|Barcelonès|Cultural|Cultural
Fundació Privada Catalana Comtal|Fundació|1231|1998/11/25|Carrer Amadeu Vives , 6|Barcelona|08003|Barcelonès|Assistencial|Assistencial ; Infància i adolescència
Fundació Privada Catalana Escola de Futbol Gironès-Sàbat|Fundació|2551|2009/03/02|Carrer Sèquia , 11, 4t|Girona|17001|Gironès|Cultural|Cultural
Fundació Privada Catalana Girona F.C.|Fundació|1527|2001/04/06|Carrer Esglèsia de Sant Miquel , 16|Girona|17003|Gironès|Cultural|Esportives ; Cultural
Fundació Privada Catalana Jazz Clàssic|Fundació|2224|2006/07/10|Avinguda de Sarrià , 15, 2n 1a|Barcelona|08029|Barcelonès|Cultural|Cultural
